ItemName;Ingredients;Allergens;LocalIngredients;Diet;nutritionLabel;LeaveEmpty
Bacon Breakfast Burrito;Eggs / Bacon / Tater Tots /  Salsa / Nacho Cheese;Wheat, gluten, milk, sulphites, egg.;Castle Cheese Nacho Blend;GFO;Bacon_Breakfast_Burrito;
Sausage Breakfast Burrito;Eggs / Pork Sausage / Tater Tots /  Salsa / Nacho Cheese;Wheat, gluten, milk, sulphites, egg.; Castle Cheese Nacho Blend;GFO;Bacon_Breakfast_Burrito;
Veggie Breakfast Burrito;Eggs / Spinach / Tater Tots /  Salsa / Nacho Cheese;Wheat, gluten, milk, sulphites, egg.; Castle Cheese Nacho Blend;VGN, GFO;Falafel_Wrap;
Breakfast Special;Eggs / Bacon or Sausage / Tater Tots / Croissant;Wheat, gluten, milk, sulphites, egg.;NA;NA;Bacon_Breakfast_Burrito;
Vegetarian Breakfast Special;Eggs / Vegan Sausage / Tater Tots / Croissant;Wheat, gluten, milk, sulphites, egg.;NA;VEG;Falafel_Wrap;
Lumberjack Bowl;Tater Tots / Sausage  and  Bacon / Cheddar Cheese / Diced Tomato / Green Onion / Hollandaise;Wheat, gluten, milk, sulphites, egg.;Fresh Start Tomato, Castle Cheese Nacho Blend;BC;Bacon_Breakfast_Burrito;
Vegetarian Lumberjack Bowl;Tater Tots / Vegan Sausage / Cheddar Cheese / Diced Tomato / Green Onion / Hollandaise;Wheat, gluten, milk, sulphites, egg.;Fresh Start Tomato, Castle Cheese Nacho Blend;VEG, BC;Falafel_Wrap;
Breakfast Waffles;Waffles / Berry Compote / Whipped Cream;Wheat, milk, egg.;Patisserie LeBeau Waffle;VEG;Apple_Turnover;
