ItemName;Ingredients;Allergens;LocalIngredients;Diet;Nutrition Label;LeaveEmpty
Fries;McCain Gold Crisp Fries[Potatoes, canola oil, wheat flour, modified corn starch, corn flour, salt, autolyzed yeast, baking powder, sodium phosphate, dextrose, modified cellulose, colour];Wheat.;NA;VGN,DF;Fries;
Cheese Curds;29% MF Milk / Enzymes / Salt;Milk.;NA;GF,VEG;placeholder;
Chef's Salad;Item will vary daily - find information in the cafeteria.;Item will vary daily - find information in the cafeteria.;NA;NA;placeholder;
Coleslaw;Green Cabbage / Red Cabbage / Shredded Carrot / Coleslaw Dressing;Eggs, mustard.;NA;GF,VEG;House_Salad;
Daily Soup;Item will vary daily - find information in the cafeteria.;Item will vary daily - find information in the cafeteria.;NA;NA;placeholder;
